,Rank,Country Code,Country,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
200,87,SWE,Sweden,Stockholm,Europe,"1,05,99,215",10549347,"1,01,96,161",10368969,9849349,9381729,8871043,450295,23.4276,0.59%,0.13%
201,101,CHE,Switzerland,Bern,Europe,"87,85,085",8740472,"87,52,564",8638613,8281732,7822435,7182059,41284,211.7157,0.64%,0.11%
202,60,SYR,Syria,Damascus,Asia,"2,29,95,980",22125249,"1,86,46,187",20772595,19205178,22337563,16307654,185180,119.4797,4.98%,0.29%
203,57,TWN,Taiwan,Taipei,Asia,"2,39,17,484",23893394,"2,38,77,855",23821464,23512136,23083083,22194731,36193,660.1662,0.13%,0.30%
204,95,TJK,Tajikistan,Dushanbe,Asia,"1,01,04,930",9952787,"98,73,338",9543207,8524063,7621779,6272998,143100,69.5513,1.92%,0.13%
205,22,TZA,Tanzania,Dodoma,Africa,"6,70,37,819",65497748,"6,25,39,416",61704518,52542823,45110527,34463704,945087,69.3034,2.96%,0.84%
206,20,THA,Thailand,Bangkok,Asia,"7,17,81,973",71697030,"7,00,39,646",71475664,70294397,68270489,63066603,513120,139.7276,0.15%,0.90%
207,155,TLS,Timor-Leste,Dili,Asia,,1341296,,1299995,1205813,1088486,878360,14874,90.1772,,
208,100,TGO,Togo,Lomé,Africa,"90,11,968",8848699,"85,96,357",8442580,7473229,6571855,5008035,56785,155.8281,2.32%,0.11%
209,233,TKL,Tokelau,Nukunonu,Oceania,"1,893",1871,"1,373",1827,1454,1367,1666,12,155.9167,1.18%,TKL
210,197,TON,Tonga,Nuku‘alofa,Oceania,"1,07,773",106858,"1,07,407",105254,106122,107383,102603,747,143.0495,0.86%,0%
211,153,TTO,Trinidad and Tobago,Port-of-Spain,North America,,1531044,,1518147,1460177,1410296,1332203,5130,298.4491,,
212,79,TUN,Tunisia,Tunis,Africa,"1,24,35,699",12356117,"1,20,03,225",12161723,11557779,10895063,9893316,163610,75.5218,0.83%,0.16%
213,18,TUR,Turkey,Ankara,Asia,"8,57,24,172",85341241,"8,54,84,777",84135428,79646178,73195345,64113547,783562,108.9145,0.56%,1.07%
214,111,TKM,Turkmenistan,Ashgabat,Asia,"64,99,368",6430770,"61,68,788",6250438,5766431,5267970,4569132,488100,13.1751,1.33%,0.08%
215,212,TCA,Turks and Caicos Islands,Cockburn Town,North America,,45703,,44276,36538,29726,18744,948,48.2099,,
216,227,TUV,Tuvalu,Funafuti,Oceania,"11,396",11312,"11,931",11069,10877,10550,9638,26,435.0769,0.74%,0%
217,31,UGA,Uganda,Kampala,Africa,"4,83,10,113",47249585,"4,79,42,521",44404611,37477356,32341728,24020697,241550,195.61,2.82%,0.61%
218,38,UKR,Ukraine,Kiev,Europe,"3,64,69,195",39701739,"4,33,12,073",43909666,44982564,45683020,48879755,603500,65.7858,-7.45%,0.46%
219,97,ARE,United Arab Emirates,Abu Dhabi,Asia,"95,01,426",9441129,"1,00,51,436",9287289,8916899,8481771,3275333,83600,112.9322,0.80%,0.12%
220,21,GBR,United Kingdom,London,Europe,"6,76,90,467",67508936,"6,84,01,087",67059474,65224364,62760039,58850043,242900,277.9289,0.34%,0.85%
221,3,USA,United States,"Washington, D.C.",North America,"33,96,22,662",338289857,"33,40,58,426",335942003,324607776,311182845,282398554,9372610,36.0935,0.50%,4.25%
222,200,VIR,United States Virgin Islands,Charlotte Amalie,North America,"98,750",99465,"1,04,010",100442,102803,106142,108185,347,286.6427,-0.72%,0%
223,133,URY,Uruguay,Montevideo,South America,"34,23,108",3422794,"34,91,832",3429086,3402818,3352651,3292224,181034,18.9069,0.01%,0.04%
224,43,UZB,Uzbekistan,Tashkent,Asia,"3,50,57,115",34627652,"3,42,07,969",33526656,30949417,28614227,24925554,447400,77.3975,1.55%,0.44%
225,181,VUT,Vanuatu,Port-Vila,Oceania,"3,33,219",326740,"3,18,774",311685,276438,245453,192074,12189,26.8061,2.38%,0%
226,234,VAT,Vatican City,Vatican City,Europe,518,510,800,520,564,596,651,1,510,1.57%,VAT
227,51,VEN,Venezuela,Caracas,South America,"2,87,23,304",28301696,"2,88,42,889",28490453,30529716,28715022,24427729,916445,30.882,1.90%,0.36%
228,16,VNM,Vietnam,Hanoi,Asia,"9,87,25,092",98186856,"9,86,55,916",96648685,92191398,87411012,79001142,331212,296.4472,0.68%,1.23%
229,226,WLF,Wallis and Futuna,Mata-Utu,Oceania,,11572,,11655,12182,13142,14723,142,81.493,,
230,172,ESH,Western Sahara,El Aaiún,Africa,"5,84,685",575986,"6,20,280",556048,491824,413296,270375,266000,2.1654,1.96%,0.01%
231,46,YEM,Yemen,Sanaa,Asia,"3,42,95,374",33696614,"3,08,82,462",32284046,28516545,24743946,18628700,527968,63.8232,2.24%,0.43%
232,63,ZMB,Zambia,Lusaka,Africa,"2,04,55,185",20017675,"1,92,38,117",18927715,16248230,13792086,9891136,752612,26.5976,2.76%,0.26%
233,74,ZWE,Zimbabwe,Harare,Africa,"1,65,93,332",16320537,"1,52,29,891",15669666,14154937,12839771,11834676,390757,41.7665,2.11%,0.21%
